Municipios;Distritos;Secciones;Indicadores demográficos;Periodo;Total
47001 Adalia;;;Edad media de la población;2023;58,7
47001 Adalia;;;Edad media de la población;2022;58,4
47001 Adalia;;;Edad media de la población;2021;57,1
47001 Adalia;;;Edad media de la población;2020;57
47001 Adalia;;;Edad media de la población;2019;.
47001 Adalia;;;Edad media de la población;2018;.
47001 Adalia;;;Edad media de la población;2017;.
47001 Adalia;;;Edad media de la población;2016;.
47001 Adalia;;;Edad media de la población;2015;.
47001 Adalia;;;Porcentaje de población menor de 18 años;2023;0
47001 Adalia;;;Porcentaje de población menor de 18 años;2022;0
47001 Adalia;;;Porcentaje de población menor de 18 años;2021;0
47001 Adalia;;;Porcentaje de población menor de 18 años;2020;0
47001 Adalia;;;Porcentaje de población menor de 18 años;2019;.
47001 Adalia;;;Porcentaje de población menor de 18 años;2018;.
47001 Adalia;;;Porcentaje de población menor de 18 años;2017;.
47001 Adalia;;;Porcentaje de población menor de 18 años;2016;.
47001 Adalia;;;Porcentaje de población menor de 18 años;2015;.
47001 Adalia;;;Porcentaje de población de 65 y más años;2023;34
47001 Adalia;;;Porcentaje de población de 65 y más años;2022;35,3
47001 Adalia;;;Porcentaje de población de 65 y más años;2021;35,2
47001 Adalia;;;Porcentaje de población de 65 y más años;2020;34,6
47001 Adalia;;;Porcentaje de población de 65 y más años;2019;.
47001 Adalia;;;Porcentaje de población de 65 y más años;2018;.
47001 Adalia;;;Porcentaje de población de 65 y más años;2017;.
47001 Adalia;;;Porcentaje de población de 65 y más años;2016;.
47001 Adalia;;;Porcentaje de población de 65 y más años;2015;.
47001 Adalia;;;Tamaño medio del hogar;2023;2,3
47001 Adalia;;;Tamaño medio del hogar;2022;2,2
47001 Adalia;;;Tamaño medio del hogar;2021;2,4
47001 Adalia;;;Tamaño medio del hogar;2020;2,5
47001 Adalia;;;Tamaño medio del hogar;2019;.
47001 Adalia;;;Tamaño medio del hogar;2018;.
47001 Adalia;;;Tamaño medio del hogar;2017;.
47001 Adalia;;;Tamaño medio del hogar;2016;.
47001 Adalia;;;Tamaño medio del hogar;2015;.
47001 Adalia;;;Porcentaje de hogares unipersonales;2023;31,8
47001 Adalia;;;Porcentaje de hogares unipersonales;2022;34,8
47001 Adalia;;;Porcentaje de hogares unipersonales;2021;30,4
47001 Adalia;;;Porcentaje de hogares unipersonales;2020;28,6
47001 Adalia;;;Porcentaje de hogares unipersonales;2019;.
47001 Adalia;;;Porcentaje de hogares unipersonales;2018;.
47001 Adalia;;;Porcentaje de hogares unipersonales;2017;.
47001 Adalia;;;Porcentaje de hogares unipersonales;2016;.
47001 Adalia;;;Porcentaje de hogares unipersonales;2015;.
47001 Adalia;;;Población;2023;50
47001 Adalia;;;Población;2022;51
47001 Adalia;;;Población;2021;54
47001 Adalia;;;Población;2020;52
47001 Adalia;;;Población;2019;.
47001 Adalia;;;Población;2018;.
47001 Adalia;;;Población;2017;.
47001 Adalia;;;Población;2016;.
47001 Adalia;;;Población;2015;.
