Municipios;Distritos;Secciones;Indicadores demográficos;Periodo;Total
49002 Abezames;;;Edad media de la población;2023;56,2
49002 Abezames;;;Edad media de la población;2022;55,2
49002 Abezames;;;Edad media de la población;2021;56,3
49002 Abezames;;;Edad media de la población;2020;59,9
49002 Abezames;;;Edad media de la población;2019;.
49002 Abezames;;;Edad media de la población;2018;.
49002 Abezames;;;Edad media de la población;2017;.
49002 Abezames;;;Edad media de la población;2016;.
49002 Abezames;;;Edad media de la población;2015;.
49002 Abezames;;;Porcentaje de población menor de 18 años;2023;6,7
49002 Abezames;;;Porcentaje de población menor de 18 años;2022;7,7
49002 Abezames;;;Porcentaje de población menor de 18 años;2021;6,3
49002 Abezames;;;Porcentaje de población menor de 18 años;2020;3,5
49002 Abezames;;;Porcentaje de población menor de 18 años;2019;.
49002 Abezames;;;Porcentaje de población menor de 18 años;2018;.
49002 Abezames;;;Porcentaje de población menor de 18 años;2017;.
49002 Abezames;;;Porcentaje de población menor de 18 años;2016;.
49002 Abezames;;;Porcentaje de población menor de 18 años;2015;.
49002 Abezames;;;Porcentaje de población de 65 y más años;2023;43,3
49002 Abezames;;;Porcentaje de población de 65 y más años;2022;36,9
49002 Abezames;;;Porcentaje de población de 65 y más años;2021;37,5
49002 Abezames;;;Porcentaje de población de 65 y más años;2020;46,6
49002 Abezames;;;Porcentaje de población de 65 y más años;2019;.
49002 Abezames;;;Porcentaje de población de 65 y más años;2018;.
49002 Abezames;;;Porcentaje de población de 65 y más años;2017;.
49002 Abezames;;;Porcentaje de población de 65 y más años;2016;.
49002 Abezames;;;Porcentaje de población de 65 y más años;2015;.
49002 Abezames;;;Tamaño medio del hogar;2023;1,8
49002 Abezames;;;Tamaño medio del hogar;2022;1,9
49002 Abezames;;;Tamaño medio del hogar;2021;1,9
49002 Abezames;;;Tamaño medio del hogar;2020;1,9
49002 Abezames;;;Tamaño medio del hogar;2019;.
49002 Abezames;;;Tamaño medio del hogar;2018;.
49002 Abezames;;;Tamaño medio del hogar;2017;.
49002 Abezames;;;Tamaño medio del hogar;2016;.
49002 Abezames;;;Tamaño medio del hogar;2015;.
49002 Abezames;;;Porcentaje de hogares unipersonales;2023;51,5
49002 Abezames;;;Porcentaje de hogares unipersonales;2022;50
49002 Abezames;;;Porcentaje de hogares unipersonales;2021;45,5
49002 Abezames;;;Porcentaje de hogares unipersonales;2020;45,2
49002 Abezames;;;Porcentaje de hogares unipersonales;2019;.
49002 Abezames;;;Porcentaje de hogares unipersonales;2018;.
49002 Abezames;;;Porcentaje de hogares unipersonales;2017;.
49002 Abezames;;;Porcentaje de hogares unipersonales;2016;.
49002 Abezames;;;Porcentaje de hogares unipersonales;2015;.
49002 Abezames;;;Población;2023;60
49002 Abezames;;;Población;2022;65
49002 Abezames;;;Población;2021;64
49002 Abezames;;;Población;2020;58
49002 Abezames;;;Población;2019;.
49002 Abezames;;;Población;2018;.
49002 Abezames;;;Población;2017;.
49002 Abezames;;;Población;2016;.
49002 Abezames;;;Población;2015;.
49002 Abezames;;;Porcentaje de población española;2023;98,3
49002 Abezames;;;Porcentaje de población española;2022;98,5
49002 Abezames;;;Porcentaje de población española;2021;98,5
49002 Abezames;;;Porcentaje de población española;2020;98,3
49002 Abezames;;;Porcentaje de población española;2019;.
49002 Abezames;;;Porcentaje de población española;2018;.
49002 Abezames;;;Porcentaje de población española;2017;.
49002 Abezames;;;Porcentaje de población española;2016;.
