Provincia;CMuni;Periodo;Edad_media_de_la_población;Porcentaje_de_hogares_unipersonales;Porcentaje_de_población_española;Porcentaje_de_población_extranjera;Tamaño_medio_del_hogar;100_y_más_años;De_0_a_4_años;De_5_a_9_años;De_10_a_14_años;De_15_a_19_años;De_20_a_24_años;De_25_a_29_años;De_30_a_34_años;De_35_a_39_años;De_40_a_44_años;De_45_a_49_años;De_50_a_54_años;De_55_a_59_años;De_60_a_64_años;De_65_a_69_años;De_70_a_74_años;De_75_a_79_años;De_80_a_84_años;De_85_a_89_años;De_90_a_94_años;De_95_a_99_años;poblacion__menor_16;poblacion_16_64;poblacion_mayor_65;Indice_Envejecimiento;Tasa_Dependencia;Hombres;Mujeres;Población;%_Hombres;%_Mujeres;area_km2;Densidad de población;Rural
Avila;05001;2021;52,000;41,800;90,200;9,800;2,100;0;1;3;2;11;7;7;9;12;17;21;14;12;14;14;11;21;7;6;7;0;8;122;66;8,250;0,607;107;89;196;54,592;45,408;31,407;6,241;True
Avila;05001;2022;50,000;38,500;86,300;13,700;2,200;0;0;3;3;10;12;10;11;13;15;19;26;13;12;20;12;20;8;5;4;0;8;139;69;8,625;0,554;120;96;216;55,556;44,444;31,407;6,877;True
Avila;05001;2023;49,800;36,100;85,100;14,900;2,200;0;3;6;4;9;11;12;9;10;16;20;21;15;10;21;13;17;4;7;2;1;15;131;65;4,333;0,611;122;89;211;57,820;42,180;31,407;6,718;True
Avila;05002;2021;44,763;41,558;91,748;8,252;2,200;2;119;128;145;132;127;112;114;183;258;236;216;214;209;175;148;84;69;53;25;3;418;1775;559;1,337;0,550;1405;1347;2752;51,054;48,946;58,656;46,918;True
Avila;05002;2022;44,579;40,098;90,946;9,054;2,200;2;100;134;147;125;137;105;121;161;241;248;226;204;217;190;151;87;63;59;25;5;406;1760;582;1,433;0,561;1410;1338;2748;51,310;48,690;58,656;46,849;True
Avila;05002;2023;44,924;39,725;89,959;10,041;2,200;1;97;137;143;133;142;110;123;154;237;253;217;208;208;182;156;93;61;51;29;4;403;1759;577;1,432;0,557;1393;1346;2739;50,858;49,142;58,656;46,696;True
Avila;05005;2021;53,400;48,500;99,400;0,600;1,800;0;1;5;3;8;5;6;15;9;7;12;18;13;19;5;9;11;8;11;3;3;11;110;50;4,545;0,555;89;82;171;52,047;47,953;17,097;10,002;True
Avila;05005;2022;53,600;46,900;99,400;0,600;1,800;0;1;6;1;8;7;5;13;10;6;9;22;10;22;7;7;13;7;12;3;3;10;110;52;5,200;0,564;89;83;172;51,744;48,256;17,097;10,060;True
Avila;05005;2023;53,600;48,500;98,900;1,100;1,700;1;1;5;3;5;10;3;14;10;9;9;18;12;22;10;4;13;7;13;3;3;10;111;54;5,400;0,577;91;84;175;52,000;48,000;17,097;10,236;True
Avila;05007;2021;59,100;36,200;99,000;1,000;2,200;1;0;2;3;2;6;5;3;2;3;10;13;7;4;5;8;17;10;8;5;0;5;55;54;10,800;1,073;60;54;114;52,632;47,368;8,485;13,435;True
